iter	Passed	Remaining
925	1458	116
926	1459	114
927	1461	113
928	1462	111
929	1464	110
930	1466	108
931	1470	107
932	1472	105
933	1473	104
934	1474	102
935	1475	100
936	1476	99
937	1478	97
938	1479	96
939	1480	94
940	1481	92
941	1482	91
942	1485	89
943	1487	88
944	1488	86
945	1489	85
946	1490	83
947	1491	81
948	1492	80
949	1493	78
950	1494	76
951	1495	75
952	1496	73
953	1497	72
954	1499	70
955	1501	69
956	1502	67
957	1503	65
958	1504	64
959	1505	62
960	1506	61
961	1507	59
962	1508	57
963	1509	56
964	1510	54
965	1514	53
966	1515	51
967	1517	50
968	1518	48
969	1519	46
970	1520	45
971	1521	43
972	1522	42
973	1523	40
974	1524	39
975	1525	37
976	1528	35
977	1530	34
978	1531	32
979	1532	31
980	1533	29
981	1534	28
982	1535	26
983	1536	24
984	1537	23
985	1538	21
986	1539	20
987	1540	18
988	1544	17
989	1545	15
990	1546	14
991	1548	12
992	1549	10
993	1550	9
994	1551	7
995	1552	6
996	1553	4
997	1554	3
998	1555	1
999	1558	0
